exercise_id,name_ptbr,arquivo_original_drive,r2_file
ex_203,"Chin-up (barra com pegada supinada)","CHIN UP.MOV","CHIN UP_2.mp4"
ex_204,"Body row com pegada fechada","BODY ROW COM PEGADA FECHADA.MOV","BODY ROW COM PEGADA FECHADA_2.mp4"
ex_205,"Flexão australiana em mesa baixa","FLEXAO AUSTRALIANA.MOV","FLEXAO AUSTRALIANA_2.mp4"
ex_206,"Rosca 21 com halteres","ROSCA 21 COM HALTERES.MOV","ROSCA 21 COM HALTERES_2.mp4"
ex_207,"Rosca martelo alternada com halteres","ROSCA MARTELO ALTERNADA COM HALTERES.MOV","ROSCA MARTELO ALTERNADA COM HALTERES_2.mp4"
ex_208,"Rosca unilateral na polia baixa","ROSCA UNILATERAL NA POLIA BAIXA.MOV","ROSCA UNILATERAL NA POLIA BAIXA_2.mp4"
ex_209,"Rosca corda na polia baixa","ROSCA CORDA NA POLIA'.MOV","ROSCA CORDA NA POLIA__2.mp4"
ex_210,"Rosca martelo na polia com corda","ROSCA MARTELO NA POLIA COM CORDA.MOV","ROSCA MARTELO NA POLIA COM CORDA_2.mp4"
ex_211,"Rosca martelo alternada com isometria","ROSCA MARTELO ALTERNADA COM ISOMETRIA.MOV","ROSCA MARTELO ALTERNADA COM ISOMETRIA_2.mp4"
ex_212,"Rosca Zottman com halteres","ROSCA ZOTTMAN COM HALTERES.MOV","ROSCA ZOTTMAN COM HALTERES_2.mp4"
ex_213,"Rosca 21 na barra W","ROSCA 21 NA BARRA W.MOV","ROSCA 21 NA BARRA W_2.mp4"
ex_217,"Tríceps testa com halteres","TRICEPS TESTA COM HALTER.MOV","TRICEPS TESTA COM HALTER_2.mp4"
ex_218,"Tríceps francês com halteres","TRICEPS FRANCES COM HALTER.mov","TRICEPS FRANCES COM HALTER_2.mp4"
ex_220,"Tríceps corda na polia","TRICEPS CORDA NA POLIA.MOV","TRICEPS CORDA NA POLIA_2.mp4"
ex_221,"Tríceps testa com barra","TRICEPS TESTA COM BARRA.MOV","TRICEPS TESTA COM BARRA_2.mp4"
ex_222,"Tríceps coice com halteres","TRICEPS COICE COM HALTER.MOV","TRICEPS COICE COM HALTER_2.mp4"
ex_223,"Tríceps na barra paralela (Graviton)","TRICEPS BARRA PARALELA NO GRAVITON.MOV","TRICEPS BARRA PARALELA NO GRAVITON_2.mp4"
ex_226,"Extensão de tríceps com elástico (acima da cabeça)","EXTENSAO DE TRICEPS ACIMA DA CABECA .MOV","EXTENSAO DE TRICEPS ACIMA DA CABECA-_1.mp4"
ex_227,"Tríceps corda WRISTS","TRICEPS CORDA WRISTS.MOV","TRICEPS CORDA WRISTS_2.mp4"
ex_228,"Tríceps testa com barra W","TRICEPS TESTA COM BARRA W.MOV","TRICEPS TESTA COM BARRA W_2.mp4"
ex_229,"Tríceps francês unilateral com halteres sentado","TRICEPS FRANCES UNILATERAL COM HALTERES.MOV","TRICEPS FRANCES UNILATERAL COM HALTERES_2.mp4"
ex_230,"Tríceps banco","TRICEPS NO BANCO DIPS.MOV","TRICEPS NO BANCO DIPS_2.mp4"
ex_231,"Kickback com elástico","KICK BACK COM ELASTICO.MOV","KICK BACK COM ELASTICO_2.mp4"
ex_232,"Tríceps coice com elástico unilateral","TRICEPS COICE COM ELASTICO.MOV","TRICEPS COICE COM ELASTICO_2.mp4"
ex_233,"Tríceps testa com halteres alternado","TRICEPS TESTA COM HALTERES ALTERNADO.MOV","TRICEPS TESTA COM HALTERES ALTERNADO_2.mp4"
ex_238,"Remada curvada com halteres","REMADA CURVADA COM HALTERES.MOV","REMADA CURVADA COM HALTERES_2.mp4"
ex_239,"Remada unilateral com halteres","REMADA UNILATERAL COM HALTERES.MOV","REMADA UNILATERAL COM HALTERES_2.mp4"
ex_240,"Pull apart com elástico","PULL APART COM ELASTICO.MOV","PULL APART COM ELASTICO_2.mp4"
ex_241,"Puxada frontal aberta","PUXADA NA FRENTE PULLDOWN .MOV","PUXADA NA FRENTE  PULLDOWN-_1.mp4"
ex_242,"Remada baixa na máquina","REMADA BAIXA NA MAQUINA.MOV","REMADA BAIXA NA MAQUINA_2.mp4"
ex_243,"Pulldown com triângulo","PULLDOWN COM TRIANGULO .MOV","PULLDOWN COM TRIANGULO-_1.mp4"
ex_244,"Remada cavalinho na maquina pegada aberta","REMADA CAVALINHO MAQUINA.MOV","REMADA CAVALINHO MAQUINA_2.mp4"
ex_246,"Barra fixa pronada (pull-up)","BARRA FIXA PULL UP.MOV","BARRA FIXA PULL UP_2.mp4"
ex_247,"Body row com pegada aberta","BODY ROW COM PEGADA ABERTA.mov","BODY ROW COM PEGADA ABERTA_2.mp4"
ex_248,"Kipping pull-up","KIPPING PULL UP.MOV","KIPPING PULL UP_2.mp4"
ex_249,"Prancha com puxada unilateral com elastcio","PRANCHA COM PUXADA UNILATERAL.MOV","PRANCHA COM PUXADA UNILATERAL_2.mp4"
ex_252,"Pulldown com elástico fixado em cima","PULLDOWN COM ELASTICO.MOV","PULLDOWN COM ELASTICO_2.mp4"
ex_253,"Remada unilateral na maquina","REMADA UNILATERAL NA MAQUINA .MOV","REMADA UNILATERAL NA MAQUINA-_1.mp4"
ex_254,"Crucifixo inverso no banco inclinado","CRUCIFIXO INVERTIDO NO BANCO INCLINADO.MOV","CRUCIFIXO INVERTIDO NO BANCO INCLINADO_2.mp4"
ex_256,"Pullover com halteres","PULLOVER COM HALTERES.MOV","PULLOVER COM HALTERES_2.mp4"
ex_257,"Pullover no cross ou na máquina","PULLOVER NO CROSS.MOV","PULLOVER NO CROSS_2.mp4"
ex_258,"Remada cavalinho (T-Bar Row)","REMADA CAVALINHO T-BAR.MOV","REMADA CAVALINHO T-BAR_2.mp4"
ex_259,"Back Extension 45° (Roman Chair)","BACK EXENSION.MOV","BACK EXENSION_2.mp4"
ex_260,"Remada cavalinho na maquina pegada neutra","REMADA CAVALINHO NA MAQUINA PEGADA FECHADA.MOV","REMADA CAVALINHO NA MAQUINA PEGADA FECHADA_2.mp4"
ex_261,"Pull Up (Graviton)","PULL UP NO GRAVITON.MOV","PULL UP NO GRAVITON_2.mp4"
ex_262,"Remada baixa aberta pronada","REMADA BAIXA ABERTA PRONADA.MOV","REMADA BAIXA ABERTA PRONADA_2.mp4"
ex_263,"Remada no TRX","REMADA NO TRX.MOV","REMADA NO TRX_2.mp4"
ex_264,"Polichinelo","POLICHINELO.MOV","POLICHINELO_2.mp4"
ex_265,"Burpee","BURPEE.MOV","BURPEE_2.mp4"
ex_266,"Mountain climber","MONTAINCLIMBER.MOV","MONTAINCLIMBER_2.mp4"
ex_268,"Esteira (corrida)","CORRIDANAESTEIRA.MOV","CORRIDANAESTEIRA_2.mp4"
ex_269,"Bicicleta ergométrica","BICICLETAERGOMETRICA.MOV","BICICLETAERGOMETRICA_2.mp4"
ex_276,"Corrida estacionária com calcanhar no glúteo","CORRIDAESTACIONARIACOMCALCANHARNOGLUTEO.MOV","CORRIDAESTACIONARIACOMCALCANHARNOGLUTEO_2.mp4"
ex_278,"Remada em máquina (Row)","REMADAEMMAQUINAROW.MOV","REMADAEMMAQUINAROW_2.mp4"
ex_279,"Skaters (saltos laterais)","SKATERS.MOV","SKATERS_2.mp4"
ex_280,"Jumping lunge (afundo com salto)","AFUNDOCOMSALTO.MOV","AFUNDOCOMSALTO_2.mp4"
ex_281,"Sprints na esteira","SPRINTSNAESTEIRA.MOV","SPRINTSNAESTEIRA_2.mp4"
ex_282,"Subida e descida no step rápido","SUBIDAEDESCIDARAPIDANOSTEP.MOV","SUBIDAEDESCIDARAPIDANOSTEP_2.mp4"
ex_286,"Corrida lateral com toques no chão","CORRIDA LATERAL COM TOQUE NO CHAO.MOV","CORRIDA LATERAL COM TOQUE NO CHAO_2.mp4"
ex_289,"Thruster com elastico","TRHUSTER COM ELASTICO.MOV","TRHUSTER COM ELASTICO_2.mp4"
ex_290,"Bear crawl (deslocamento em 4 apoios)","BEARCRAWL.MOV","BEARCRAWL_2.mp4"
ex_292,"Polichinelo com agachamento","POLICHINELOCOMAGACHAMENTO.MOV","POLICHINELOCOMAGACHAMENTO_2.mp4"
ex_293,"Polichinelo com toque no chão","POLICHINELOCOMTOQUENOCHAO.MOV","POLICHINELOCOMTOQUENOCHAO_2.mp4"
ex_294,"Polichinelo cruzado","POLICHINELOCRUZADO.MOV","POLICHINELOCRUZADO_2.mp4"
ex_295,"Polichinelo frontal","POLICHINELOFRONTAL.MOV","POLICHINELOFRONTAL_2.mp4"
ex_296,"Passos de pato","PASSODEPATO.MOV","PASSODEPATO_2.mp4"
ex_297,"Passos de caranguejo","PASSODECARANGUEIJO.MOV","PASSODECARANGUEIJO_2.mp4"
ex_298,"Passos de jacaré","PASSODEJACARE.MOV","PASSODEJACARE_2.mp4"
ex_299,"Salto de sapo","SALTODESAPO.MOV","SALTODESAPO_2.mp4"
