exercise_id,name_ptbr,drive_id,arquivo_original_drive,status
ex_133,Abdominal Reloginho,1ZB-J8f-l1HMvbDhVqAd76dfAIKwk8apg,ABDOMINAL RELOGINHO.MOV,ok
ex_134,Toes to Kettlebell,1D6uOdIzXzi8FEmIql5C2YPtbHtnwoEDh,TOES TO KTB.MOV,ok
ex_135,Prancha frontal,1CS_05AY4t6GX4Za63zWh91vbb9UUjwVr,PRANCHA FRONTAL.MOV,ok
ex_136,Prancha lateral,1oicg1X5uTgiEvd0rpgPVtibkfj-ikcVJ,PRANCHA LATERAL.MOV,ok
ex_137,Bird dog,1hNtiwfxJir8RlmxzJkzWobBmffu8CD-M,BIRD DOG.MOV,ok
ex_138,Dead bug,1ptyfChrE4XZKPG3Lu7ky4VNXs1AL9fVN,DEAD BUG.MOV,ok
ex_139,Hollow hold,16HNV2qPvSq4D6fl-U2EUGM_mhf2w1MF_,HOLLOW HOLD.MOV,ok
ex_140,Prancha com miniband,1TUR2MdqVoTA1fY1K252vSe6wDFeqSOkD,PRANCHA COM ELASTICO.MOV,ok
ex_141,Rollout com roda abdominal,10h4q3JC8KBE9d8Oa7l6yLAujcyx8-oYh,IMG_8934 - cópia.MOV,ok
ex_142,Anti-rotação com elástico,111kKRxzvTdhbxn2Sd8t7ODaVJSMBWYbC,ANTI ROTACAO COM ELASTICO.MOV,ok
ex_143,Cable anti-rotação (Pallof Press),1m5d8yn7aquUv-iFjaCos0_OB96W8obLh,PALOFF PRESS.MOV,ok
ex_144,Woodchopper no cross,1feJlpaSQAGh-EYRnbHmt7662X0eJM6YS,WOODCHOPPER NO CROSS.MOV,ok
ex_145,Knee raise pendurado,169LVDWiKqfLQbLTaFbvjbLDaPL_8qdq9,JOELHO NO PEITO NA BARRA.MOV,ok
ex_146,Farmer's carry unilateral,1_6BclsPmfsy859A18LJmh66pYQG2Um88,FARMRS CARRY UNILATERAL.MOV,ok
ex_147,Prancha com elevação alternada de pernas,1DFcTHQtZkpx2clDJfCSLLXDlqXXnhtDS,PRANCHA COM ELEVACAO DE PERNA.MOV,ok
ex_148,Prancha com toque nos ombros,1j0n5CWjde7xS4z3Wjd2V0eDiVDyiaHCJ,PRANCHA TAPA NO OMBRO.MOV,ok
ex_149,Dead bug com miniband,1yb298x3nevVmh1CypH0mOZa0yzb6W0Bh,DEAD BUG COM MINI BAND.MOV,ok
ex_151,Pike push-up,1lOlRWkWQ_K3ocvyRm1Qt8GZ8woUoPbah,PIKE PUSH UP.MOV,ok
ex_152,Prancha com toque de ombro,1j0n5CWjde7xS4z3Wjd2V0eDiVDyiaHCJ,PRANCHA TAPA NO OMBRO.MOV,ok
ex_153,Elevação lateral com halteres,1PGb-z1IkQRuz5jRTwsmBtJVa4sg77OTW,ELEVACAO LATERAL .MOV,ok
ex_154,Desenvolvimento com halteres,1W8fqLDNj_IzOKJ7j1iTzssz2mtJXz0Rc,DESENVOLVIMENTO.MOV,ok
ex_155,Remada alta com elástico,1s_A8UtCwqHyO5oxjrH3DOgweBnT88yNP,REMADA ALTA COM ELASTICO.MOV,ok
ex_156,Desenvolvimento com barra,1EutL64e2CVDEC2rrhLyW_PyBRg2myUON,DESENVOLVIMENTO COM BARRA.MOV,ok
ex_157,Elevação frontal com halteres,1FJ9ILVovC0NGxWwbCEFfyvgmV0UEwWYJ,ELEVACAO FRONTAL.MOV,ok
ex_158,Crucifixo invertido no peck deck,13WUMjArnUIzec2r9DI21Zf1V63_Fk8lH,CRUCIFIXO INVERTIDO NO PECK DECK.MOV,ok
ex_159,Arnold press,1sGySICRhtrWUF0qRzW0J0h6WrIE5mfd8,ARNOLD PRESS.MOV,ok
ex_160,Push press com barra,1wxIVn1_Ns3y1x00IqhHU0QUCswqSxn2Q,PUSH PRESS.MOV,ok
ex_161,Prancha pike walk,1W-jV4vSo9K3usLQLlZpRxz10CkvrL42F,PRANCHA PIKE WALK.MOV,ok
ex_162,Prancha com giro de tronco,1YLfQMGKnTVSiDbfF2JH6KVtfgq1bDcqa,PRANCHA COM GIRO DE TRONCO.MOV,ok
ex_163,Toque alternado em parede na prancha,1ZL13u9YvBbX_E76g1-RJ0PQ_p_TTHeW7,PRANCHA COM TOQUE ALTERNADO NA PAREDE.MOV,ok
ex_164,Desenvolvimento com elástico,1XNPQUQT_LygQB4YZ4BZDN42xM_nZW1dt,DESENVOLVIMENTO COM ELASTICO.MOV,ok
ex_165,Elevação lateral com miniband,1PXr-o4a_hqn-rUgAzSeYNkrrYpd82VnA,ELEVACAO LATERAL COM ELASTICO.MOV,ok
ex_166,Face pull com elástico,1awkg3XucUEKb25QTBCRsCN2PPbqg-S4x,FACE PULL COM ELASTICO.MOV,ok
ex_167,Desenvolvimento no Smith,1wFCpW63JWA4RJ52RTxI2WhYMQ5MFcu3L,DESENVOLVIMENTO NO SMITH.MOV,ok
ex_168,Elevação lateral na polia,1lArcgcXfhoTiQ9SGlbk1-cqL3O2_U3T-,ELEVACAO LATERAL NA POLIA.MOV,ok
ex_169,Face pull no cross,1HXfoke5tq2fe5uK1J7Bx0-tWkrM3YT2m,FACE PULL NO CROSS.MOV,ok
